part_number,model_name,capacity,color
MG854J/A,iPhone 17 Pro,256GB,シルバー
MG864J/A,iPhone 17 Pro,256GB,コズミックオレンジ
MG874J/A,iPhone 17 Pro,256GB,ディープブルー
MG894J/A,iPhone 17 Pro,512GB,シルバー
MG8A4J/A,iPhone 17 Pro,512GB,コズミックオレンジ
MG8C4J/A,iPhone 17 Pro,512GB,ディープブルー
MG8D4J/A,iPhone 17 Pro,1TB,シルバー
MG8E4J/A,iPhone 17 Pro,1TB,コズミックオレンジ
MG8F4J/A,iPhone 17 Pro,1TB,ディープブルー
MFY84J/A,iPhone 17 Pro Max,256GB,シルバー
MFY94J/A,iPhone 17 Pro Max,256GB,コズミックオレンジ
MFYA4J/A,iPhone 17 Pro Max,256GB,ディープブルー
MFYC4J/A,iPhone 17 Pro Max,512GB,シルバー
MFYD4J/A,iPhone 17 Pro Max,512GB,コズミックオレンジ
MFYE4J/A,iPhone 17 Pro Max,512GB,ディープブルー
MFYF4J/A,iPhone 17 Pro Max,1TB,シルバー
MFYG4J/A,iPhone 17 Pro Max,1TB,コズミックオレンジ
MFYH4J/A,iPhone 17 Pro Max,1TB,ディープブルー
MFYJ4J/A,iPhone 17 Pro Max,2TB,シルバー
MFYK4J/A,iPhone 17 Pro Max,2TB,コズミックオレンジ
MFYL4J/A,iPhone 17 Pro Max,2TB,ディープブルー
